nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Želechovice nad Dřevnicí	322	99,69000000000	321	12	43	36	74	14	66	17	5	23	14	17	2	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	3	0	0	0	3	0	0	0	0	0	3	19,73000000000	0,57600000000	28,10000000000	42,78500000000	41,31800000000	48,92700000000	0,20900000000	31,71100000000	23,91400000000	9,52400000000	0,57600000000	0,57600000000	14,91400000000	3,97700000000	76,21951219510	5,73170731707	18,04878048780
Petrov nad Desnou	127	97,64000000000	124	14	25	22	13	6	12	6	1	8	5	12	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	2	0	3	0	0	0	0	0	1	12,95000000000	0,58600000000	13,97500000000	42,82900000000	40,54600000000	43,09600000000	0,58600000000	33,38900000000	19,24700000000	4,35100000000	0,41800000000	0,92100000000	13,72400000000	7,19700000000	82,25806451610	2,99539170507	14,74654377880
Libhošť	243	100,00000000000	243	33	65	11	40	5	46	23	6	1	8	5	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	18,34000000000	0,00000000000	18,45400000000	41,11600000000	39,86300000000	47,82300000000	0,19500000000	35,21800000000	21,89700000000	7,08300000000	0,58500000000	0,84500000000	15,78900000000	4,22400000000	84,37978560490	4,59418070444	11,02603369070
Veřovice	252	99,60000000000	251	23	63	16	58	13	37	15	6	4	5	11	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	2	0	2	0	0	0	1	15,41000000000	0,97300000000	28,41800000000	40,73700000000	39,66200000000	44,70000000000	0,25600000000	33,28200000000	23,24600000000	7,47600000000	0,51200000000	0,56300000000	17,76800000000	3,73800000000	85,40145985400	3,40632603406	11,19221411190
Vřesina	484	98,97000000000	479	36	90	52	102	25	55	55	17	15	8	24	0	1	0	0	0	0	3	0	2	0	0	0	3	0	0	0	0	0	0	2	0	4	0	6	0	0	3	0	21,08000000000	0,40800000000	20,01500000000	41,94700000000	40,96500000000	51,98700000000	0,33400000000	25,13900000000	22,65100000000	17,15600000000	0,63100000000	0,74300000000	16,30200000000	3,82500000000	80,57040998220	6,23885918004	13,19073083780
Olomouc	15474	99,37000000000	15359	1387	2316	2406	1608	783	2610	1158	682	770	428	1211	83	39	10	16	4	60	70	9	47	44	20	44	18	48	10	1	31	74	10	97	1	176	6	85	71	3	52	82	19,04000000000	0,62600000000	14,87500000000	41,17600000000	39,49500000000	39,52400000000	0,24300000000	22,94100000000	26,23900000000	17,86800000000	0,84700000000	0,82700000000	13,92200000000	5,09100000000	83,83894963260	3,92991575551	12,23113461190
Bělkovice-Lašťany	211	98,10000000000	207	28	36	24	23	4	34	12	8	9	14	15	0	1	0	1	1	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	1	0	2	1	12,26000000000	1,14200000000	14,04100000000	39,22500000000	37,56800000000	45,78800000000	0,14300000000	34,36500000000	21,37100000000	7,13900000000	0,61900000000	0,47600000000	15,56400000000	4,76000000000	78,87168141590	4,53539823009	16,59292035400
Bílá Lhota	135	99,26000000000	134	18	21	9	24	8	22	4	1	1	9	17	4	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	0	0	5	0	1	0	0	0	1	14,53000000000	0,64800000000	19,35200000000	42,09100000000	40,35000000000	49,35200000000	0,27800000000	37,31500000000	17,13000000000	6,38900000000	0,92600000000	0,55600000000	13,42600000000	4,72200000000	87,69230769230	2,41758241758	9,89010989011
Blatec	74	100,00000000000	74	12	10	8	10	1	10	3	2	2	8	8	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	15,26000000000	0,50300000000	19,26300000000	40,43500000000	39,82600000000	47,90600000000	0,16800000000	35,17600000000	20,26800000000	6,86800000000	0,50300000000	0,16800000000	14,90800000000	3,85300000000	85,43307086610	1,57480314961	12,99212598430
Bohuňovice	301	99,67000000000	300	30	28	40	50	7	63	13	17	12	15	25	1	2	0	1	1	1	1	0	2	0	1	0	3	0	0	0	0	2	0	0	0	2	0	0	3	1	0	4	14,46000000000	0,35900000000	17,35100000000	39,95300000000	39,14600000000	47,06800000000	0,12000000000	27,32300000000	25,88800000000	11,60700000000	0,31900000000	0,75800000000	16,63300000000	4,26800000000	85,76544315130	3,58102059087	10,65353625780
Bouzov	223	98,65000000000	220	24	36	25	36	7	32	5	8	13	3	31	3	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	0	1	0	0	0	11	1	2	1	0	1	1	17,31000000000	1,13300000000	19,45400000000	41,61800000000	39,36300000000	45,03700000000	0,13300000000	34,31000000000	21,58600000000	9,06100000000	0,33300000000	1,06600000000	14,79000000000	6,19600000000	82,68608414240	3,07443365696	14,23948220060
Bystročice	101	100,00000000000	101	18	15	9	2	4	23	15	1	1	7	6	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16,72000000000	0,27000000000	10,54100000000	39,48600000000	38,71700000000	43,64900000000	0,27000000000	32,56800000000	21,75700000000	7,02700000000	0,40500000000	0,94600000000	13,64900000000	4,59500000000	79,23322683710	4,79233226837	15,97444089460
Dlouhá Loučka	220	99,09000000000	218	44	36	19	17	6	25	21	6	8	9	27	9	1	1	0	0	2	1	0	2	0	2	0	0	0	0	0	0	2	0	0	0	5	0	0	0	1	0	1	13,90000000000	0,58900000000	10,49300000000	40,35200000000	39,09100000000	44,70000000000	0,58900000000	33,88700000000	19,32500000000	6,21000000000	0,53500000000	1,44500000000	15,20300000000	5,99600000000	85,18005540170	2,21606648199	12,60387811630
Dolany	391	100,00000000000	391	31	51	66	35	31	70	25	12	17	16	37	6	0	0	0	0	3	5	3	1	1	1	0	1	1	0	0	0	1	0	3	0	3	0	1	3	0	0	4	19,02000000000	1,86500000000	15,15900000000	38,89600000000	37,98100000000	47,57900000000	0,19800000000	26,07100000000	21,11100000000	13,61100000000	0,55600000000	0,55600000000	16,38900000000	3,37300000000	78,85662431940	5,44464609800	15,69872958260
Drahanovice	233	99,14000000000	231	37	43	20	33	10	31	16	6	8	14	13	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	1	1	0	2	16,52000000000	1,47400000000	18,85700000000	41,67000000000	39,96300000000	47,11300000000	0,00000000000	37,46900000000	20,70000000000	5,52800000000	0,49100000000	0,43000000000	15,90900000000	5,46700000000	85,23878437050	3,76266280753	10,99855282200
