KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
12	43	36	74	14	66	17	5	23	14	17	1627	0.576	28.1	42.785	48.927	0.209	31.711	23.914	9.524	0.576	0.576	14.914	3.977	76.220	5.732	18.049
14	25	22	13	6	12	6	1	8	5	12	958	0.586	13.975	42.829	43.096	0.586	33.389	19.247	4.351	0.418	0.921	13.724	7.197	82.258	2.995	14.747
33	65	11	40	5	46	23	6	1	8	5	1325	0	18.454	41.116	47.823	0.195	35.218	21.897	7.083	0.585	0.845	15.789	4.224	84.380	4.594	11.026
23	63	16	58	13	37	15	6	4	5	11	1629	0.973	28.418	40.737	44.7	0.256	33.282	23.246	7.476	0.512	0.563	17.768	3.738	85.401	3.406	11.192
36	90	52	102	25	55	55	17	15	8	24	2272	0.408	20.015	41.947	51.987	0.334	25.139	22.651	17.156	0.631	0.743	16.302	3.825	80.570	6.239	13.191
1387	2316	2406	1608	783	2610	1158	682	770	428	1211	80667	0.626	14.875	41.176	39.524	0.243	22.941	26.239	17.868	0.847	0.827	13.922	5.091	83.839	3.930	12.231
28	36	24	23	4	34	12	8	9	14	15	1688	1.142	14.041	39.225	45.788	0.143	34.365	21.371	7.139	0.619	0.476	15.564	4.76	78.872	4.535	16.593
18	21	9	24	8	22	4	1	1	9	17	922	0.648	19.352	42.091	49.352	0.278	37.315	17.13	6.389	0.926	0.556	13.426	4.722	87.692	2.418	9.890
12	10	8	10	1	10	3	2	2	8	8	485	0.503	19.263	40.435	47.906	0.168	35.176	20.268	6.868	0.503	0.168	14.908	3.853	85.433	1.575	12.992
30	28	40	50	7	63	13	17	12	15	25	2075	0.359	17.351	39.953	47.068	0.12	27.323	25.888	11.607	0.319	0.758	16.633	4.268	85.765	3.581	10.654
24	36	25	36	7	32	5	8	13	3	31	1271	1.133	19.454	41.618	45.037	0.133	34.31	21.586	9.061	0.333	1.066	14.79	6.196	82.686	3.074	14.239
18	15	9	2	4	23	15	1	1	7	6	604	0.27	10.541	39.486	43.649	0.27	32.568	21.757	7.027	0.405	0.946	13.649	4.595	79.233	4.792	15.974
44	36	19	17	6	25	21	6	8	9	27	1568	0.589	10.493	40.352	44.7	0.589	33.887	19.325	6.21	0.535	1.445	15.203	5.996	85.180	2.216	12.604
31	51	66	35	31	70	25	12	17	16	37	2056	1.865	15.159	38.896	47.579	0.198	26.071	21.111	13.611	0.556	0.556	16.389	3.373	78.857	5.445	15.699
37	43	20	33	10	31	16	6	8	14	13	1398	1.474	18.857	41.67	47.113	0	37.469	20.7	5.528	0.491	0.43	15.909	5.467	85.239	3.763	10.999
19	32	8	36	5	31	7	6	6	7	22	1250	0.198	15.71	40.141	48.779	0.264	34.455	21.98	6.931	0.396	0.99	15.71	5.743	83.717	2.303	13.980
13	25	23	12	11	27	5	6	7	7	7	1206	0.355	15.625	41.127	46.733	0.213	31.321	23.295	9.02	0.426	0.497	12.642	3.551	83.306	4.862	11.831
69	104	34	41	23	60	26	14	15	14	45	3526	3.375	10.731	41.982	42.632	0.486	34.086	20.539	5.875	0.583	0.728	13.547	5.05	91.209	1.770	7.021
13	22	19	14	8	33	21	9	11	4	25	1295	0.256	12.86	37.922	45.361	0.448	29.431	20.218	11.196	0.576	0.704	17.338	4.095	83.501	5.165	11.334
0	4	11	18	4	13	5	3	8	8	6	495	0.345	18.793	39.398	40.69	1.034	33.276	19.655	5.345	0.69	1.207	15.172	7.931	80.645	5.530	13.825
30	42	26	39	8	64	13	10	5	15	21	1874	0.171	12.928	40.748	45.548	0.171	31.036	24.401	8.647	0.813	0.813	13.271	6.764	83.733	4.275	11.992
19	16	6	24	3	14	8	3	10	8	10	599	1.693	25.247	40.717	46.827	0.423	33.004	21.58	7.616	0.282	0.705	14.951	5.924	79.286	3.929	16.786
12	15	16	3	4	4	3	5	2	2	1	465	2.131	10.302	39.441	42.451	0.533	39.076	15.986	4.44	0.71	0.355	13.321	5.506	82.110	3.670	14.220
20	15	14	27	7	17	8	9	3	6	10	685	0.365	22.384	40.789	49.148	0.487	31.022	22.871	8.394	0.608	0.608	14.477	4.501	81.250	3.869	14.881
1	5	2	1	0	4	0	0	1	0	2	145	0	12.644	46.835	42.529	0.575	37.931	16.092	5.172	0.575	0	6.897	4.598	91.228	1.754	7.018
191	233	116	144	52	203	78	24	34	65	101	8043	0.607	15.578	41.412	43.729	0.34	32.143	23.747	8.324	0.556	0.72	14.981	5.114	84.630	3.283	12.087
20	14	12	31	3	15	4	0	8	1	6	684	0.375	23.375	43.606	45.5	0.625	34.625	20.625	7.375	0.5	0.5	13.625	5.75	86.333	2.000	11.667
45	94	45	40	12	67	23	21	9	23	23	2619	0.258	15.823	39.897	44.054	0.193	31.647	24.299	9.281	0.483	0.516	14.953	4.351	90.915	1.761	7.324
12	26	8	22	24	17	5	4	7	12	11	951	0.636	15.273	39.307	46.091	0.364	31.818	24.273	6.909	0.273	0.545	16.909	4.364	84.681	2.340	12.979
35	7	11	2	0	8	0	0	1	7	6	426	3.074	2.254	38.088	32.992	0.615	31.352	14.959	3.074	0.82	1.434	11.68	7.992	88.718	2.564	8.718
17	28	12	6	6	20	3	3	1	11	20	807	0.296	6.917	35.521	33.992	0.395	33.004	19.071	3.557	0.198	0.988	19.466	9.289	93.765	0.000	6.235
13	16	13	7	6	9	2	0	2	5	4	637	2.18	16.757	42.413	38.283	0.409	30.381	17.847	4.768	0.545	1.771	14.714	6.267	85.603	3.113	11.284
6	6	5	5	0	11	0	1	0	0	8	286	1.393	7.521	39.556	48.189	0.557	36.769	16.992	6.964	0.836	0.836	14.763	6.128	82.781	3.974	13.245
43	32	31	46	4	34	6	0	7	7	17	1200	0.069	17.598	39.761	47.274	0.828	32.022	20.359	7.453	0.552	0.69	15.045	5.383	85.435	2.487	12.078
32	30	31	48	19	43	25	10	9	6	16	1650	0.765	23.508	42.368	46.354	0.153	34.523	22.54	8.72	0.663	0.663	14.38	4.539	83.313	3.386	13.301
10	25	13	18	10	14	4	3	3	9	18	1026	1.529	12.711	38.664	40.869	0.08	32.582	20.274	4.344	0.483	0.724	15.688	5.792	84.496	3.488	12.016
1	5	12	2	1	9	2	2	2	3	4	208	0	11.157	38.266	44.215	0	34.711	16.529	5.372	0.413	0.413	16.942	2.893	84.091	2.273	13.636
4	13	6	5	2	12	1	1	4	2	7	240	0	9.489	43.074	50.73	0	38.686	20.438	4.745	0.73	0.365	15.328	3.65	86.207	1.724	12.069
1	5	2	2	0	7	3	1	2	3	5	130	0	13.333	42.955	44.242	0.606	33.333	24.242	6.667	0.606	1.818	9.697	6.667	67.692	9.231	23.077
14	8	8	5	2	8	7	2	5	2	5	346	0.969	12.349	41.803	50.363	0.484	38.499	24.213	6.538	0.242	0.242	13.317	4.116	82.036	4.790	13.174
25	36	18	12	6	33	6	3	1	12	14	1020	0.908	13.625	41.209	43.931	0.33	33.691	21.718	7.927	0.743	0.743	14.533	4.872	85.887	3.024	11.089
6	2	2	1	2	3	1	1	1	1	5	144	0.535	8.556	40.174	48.128	0.535	42.781	14.973	2.674	0.535	0.535	19.251	3.743	78.378	1.351	20.270
55	40	43	54	7	44	15	6	3	7	26	1485	0.282	26.494	41.539	49.154	0.113	37.486	20.97	5.975	0.564	0.733	16.516	4.679	86.193	3.485	10.322
0	3	9	9	1	7	2	2	0	0	2	155	3.804	20.109	41.022	49.457	0.543	41.848	14.13	6.522	0	0	15.761	5.435	79.730	0.000	20.270
22	42	17	22	7	35	18	5	10	9	26	1277	0.461	18.194	41.689	46.737	0.264	32.169	24.192	10.613	0.923	0.461	14.568	3.889	84.000	4.444	11.556
17	27	11	9	6	25	11	5	4	3	5	1269	0.296	11.591	36.7	42.105	0.237	32.939	20.166	4.849	0.473	0.887	17.031	6.623	86.328	3.657	10.016
40	63	33	66	17	58	11	13	14	12	42	2783	0.244	14.783	40.75	45.174	0.489	32.926	22.144	6.903	0.519	1.038	14.875	5.681	86.518	2.740	10.743
190	329	155	180	70	258	108	43	72	95	120	11134	1.061	12.303	42.22	41.815	1.392	29.041	23.177	9.356	0.545	0.707	13.673	4.87	83.509	3.287	13.204
